y_ear,C_ountry
1/30/2008,Ghana
1/31/2008,Ghana
2/3/2008,Ghana
2/4/2008,Ghana
2/7/2008,Ghana
2/9/2008,Ghana
2/10/2008,Ghana
1/10/2010,Angola
1/11/2010,Angola
1/12/2010,Angola
1/13/2010,Angola
1/14/2010,Angola
1/15/2010,Angola
1/16/2010,Angola
1/17/2010,Angola
1/18/2010,Angola
1/19/2010,Angola
1/20/2010,Angola
1/21/2010,Angola
1/24/2010,Angola
1/25/2010,Angola
1/28/2010,Angola
1/30/2010,Angola
1/31/2010,Angola
1/21/2012,Equatorial Guinea
1/22/2012,Equatorial Guinea
1/23/2012,Gabon
1/24/2012,Gabon
1/25/2012,Equatorial Guinea
1/26/2012,Equatorial Guinea
1/27/2012,Gabon
1/28/2012,Gabon
1/29/2012,Equatorial Guinea
1/30/2012,Equatorial Guinea
1/31/2012,Gabon
2/1/2012,Gabon
2/4/2012,Equatorial Guinea
2/5/2012,Gabon
2/8/2012,Equatorial Guinea
2/8/2012,Gabon
2/11/2012,Equatorial Guinea
2/12/2012,Gabon
1/19/2013,South Africa
1/20/2013,South Africa
1/21/2013,South Africa
1/22/2013,South Africa
1/23/2013,South Africa
1/24/2013,South Africa
1/25/2013,South Africa
1/26/2013,South Africa
1/27/2013,South Africa
1/28/2013,South Africa
1/29/2013,South Africa
1/30/2013,South Africa
2/2/2013,South Africa
2/3/2013,South Africa
2/6/2013,South Africa
2/9/2013,South Africa
2/10/2013,South Africa
1/17/2015,Equatorial Guinea
1/18/2015,Equatorial Guinea
1/19/2015,Equatorial Guinea
1/20/2015,Equatorial Guinea
1/21/2015,Equatorial Guinea
1/22/2015,Equatorial Guinea
1/23/2015,Equatorial Guinea
1/24/2015,Equatorial Guinea
1/25/2015,Equatorial Guinea
1/26/2015,Equatorial Guinea
1/27/2015,Equatorial Guinea
1/28/2015,Equatorial Guinea
1/31/2015,Equatorial Guinea
2/1/2015,Equatorial Guinea
2/4/2015,Equatorial Guinea
2/5/2015,Equatorial Guinea
2/7/2015,Equatorial Guinea
2/8/2015,Equatorial Guinea
1/14/2017,Gabon
1/15/2017,Gabon
1/16/2017,Gabon
1/17/2017,Gabon
1/18/2017,Gabon
1/19/2017,Gabon
1/20/2017,Gabon
1/21/2017,Gabon
1/22/2017,Gabon
1/23/2017,Gabon
1/24/2017,Gabon
1/25/2017,Gabon
1/28/2017,Gabon
1/29/2017,Gabon
2/1/2017,Gabon
2/2/2017,Gabon
2/4/2017,Gabon
2/5/2017,Gabon
6/21/2019,Egypt
6/22/2019,Egypt
6/23/2019,Egypt
6/24/2019,Egypt
6/25/2019,Egypt
6/26/2019,Egypt
6/27/2019,Egypt
6/28/2019,Egypt
6/29/2019,Egypt
6/30/2019,Egypt
7/1/2019,Egypt
7/2/2019,Egypt
7/5/2019,Egypt
7/6/2019,Egypt
7/7/2019,Egypt
7/8/2019,Egypt
7/10/2019,Egypt
7/11/2019,Egypt
7/14/2019,Egypt
7/17/2019,Egypt
7/19/2019,Egypt
1/9/2022,Cameroon
1/10/2022,Cameroon
1/11/2022,Cameroon
1/12/2022,Cameroon
1/13/2022,Cameroon
1/14/2022,Cameroon
1/15/2022,Cameroon
